Unidad;Almacenppal;Compania
3000 CC;SUMINISTROS;CLINICA SAN JUAN DE DIOS
300MG;FARMACIA;CLINICA SAN JUAN DE DIOS
30MG;FARMACIA;CLINICA SAN JUAN DE DIOS
330 CC;SUMINISTROS;CLINICA SAN JUAN DE DIOS
350 GRAMOS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
350 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
37.5 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
3800 CMT3;SUMINISTROS;CLINICA SAN JUAN DE DIOS
3MG;FARMACIA;CLINICA SAN JUAN DE DIOS
3MG/10 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
3MG/5ML;FARMACIA;CLINICA SAN JUAN DE DIOS
3X5 YARDAS;FARMACIA;CLINICA SAN JUAN DE DIOS
4-0;FARMACIA;CLINICA SAN JUAN DE DIOS
4 MG/ML;FARMACIA;CLINICA SAN JUAN DE DIOS
0,04;FARMACIA;CLINICA SAN JUAN DE DIOS
4% + 1%;FARMACIA;CLINICA SAN JUAN DE DIOS
4.5 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
40 G;FARMACIA;CLINICA SAN JUAN DE DIOS
40 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
40 UI;FARMACIA;CLINICA SAN JUAN DE DIOS
400 METROS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
400 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
40MG/0.4ML;FARMACIA;CLINICA SAN JUAN DE DIOS
425 GRAMOS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
4300 KG;SUMINISTROS;CLINICA SAN JUAN DE DIOS
450 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
450G;SUMINISTROS;CLINICA SAN JUAN DE DIOS
4G + 4G + 0.4G;FARMACIA;CLINICA SAN JUAN DE DIOS
4MG/4ML;FARMACIA;CLINICA SAN JUAN DE DIOS
4MM;FARMACIA;CLINICA SAN JUAN DE DIOS
4X5 YARDAS;FARMACIA;CLINICA SAN JUAN DE DIOS
5-0;FARMACIA;CLINICA SAN JUAN DE DIOS
5-0 45CM PS2 19MM 3/8;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG-2.40MG/5ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG / 2 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG /ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG/1ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG/5ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 MG/ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5 ML (AGUJA 21G * 1 1/2);FARMACIA;CLINICA SAN JUAN DE DIOS
0,05;FARMACIA;CLINICA SAN JUAN DE DIOS
5% + 0.9 %;FARMACIA;CLINICA SAN JUAN DE DIOS
5% + 2%;FARMACIA;CLINICA SAN JUAN DE DIOS
5.000.000 UI;FARMACIA;CLINICA SAN JUAN DE DIOS
5.5 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
50-60 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50 KILOS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
50 MCG;FARMACIA;CLINICA SAN JUAN DE DIOS
50 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
50 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50 UND;SUMINISTROS;CLINICA SAN JUAN DE DIOS
500 CC;FARMACIA;CLINICA SAN JUAN DE DIOS
500 G;FARMACIA;CLINICA SAN JUAN DE DIOS
500 GRAMOS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
500 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
500 MG + 15MG;FARMACIA;CLINICA SAN JUAN DE DIOS
500 MG +60MG + 5MG;FARMACIA;CLINICA SAN JUAN DE DIOS
500 MGR + 30 MGR;FARMACIA;CLINICA SAN JUAN DE DIOS
500 MGR 30 MGR;FARMACIA;CLINICA SAN JUAN DE DIOS
500/30 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
50000UI;FARMACIA;CLINICA SAN JUAN DE DIOS
5000UI;FARMACIA;CLINICA SAN JUAN DE DIOS
500MG/4ML;FARMACIA;CLINICA SAN JUAN DE DIOS
500ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50G;FARMACIA;CLINICA SAN JUAN DE DIOS
50MG;FARMACIA;CLINICA SAN JUAN DE DIOS
50MG / 2ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50MG/10ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50MG/2ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50MG/ML;FARMACIA;CLINICA SAN JUAN DE DIOS
50XCAJA;FARMACIA;CLINICA SAN JUAN DE DIOS
54 CM * 100 M (ROLLO);FARMACIA;CLINICA SAN JUAN DE DIOS
5MG;FARMACIA;CLINICA SAN JUAN DE DIOS
5MG + 60MG;FARMACIA;CLINICA SAN JUAN DE DIOS
5MG/5ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5MG/ML;FARMACIA;CLINICA SAN JUAN DE DIOS
5MM;FARMACIA;CLINICA SAN JUAN DE DIOS
5X5;FARMACIA;CLINICA SAN JUAN DE DIOS
5X5 YARDAS;FARMACIA;CLINICA SAN JUAN DE DIOS
6-0;FARMACIA;CLINICA SAN JUAN DE DIOS
6 G + 16 G;FARMACIA;CLINICA SAN JUAN DE DIOS
6 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
6 X 5;FARMACIA;CLINICA SAN JUAN DE DIOS
6.0;FARMACIA;CLINICA SAN JUAN DE DIOS
6.25 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
6.5 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
60 G;FARMACIA;CLINICA SAN JUAN DE DIOS
60 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
60 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
60 X 60 CM;FARMACIA;CLINICA SAN JUAN DE DIOS
600 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
600+200 MG/UI;FARMACIA;CLINICA SAN JUAN DE DIOS
65,5;FARMACIA;CLINICA SAN JUAN DE DIOS
0,655;FARMACIA;CLINICA SAN JUAN DE DIOS
7 * 11MM (METRO);FARMACIA;CLINICA SAN JUAN DE DIOS
7.0;FARMACIA;CLINICA SAN JUAN DE DIOS
7.0 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
7.5;FARMACIA;CLINICA SAN JUAN DE DIOS
7.5 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
7.5 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
7.5 X 7.5 CM;FARMACIA;CLINICA SAN JUAN DE DIOS
0,7;FARMACIA;CLINICA SAN JUAN DE DIOS
700 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
700 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
720 ELISA U;FARMACIA;CLINICA SAN JUAN DE DIOS
75 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
75 MG/3ML;FARMACIA;CLINICA SAN JUAN DE DIOS
750 CC;SUMINISTROS;CLINICA SAN JUAN DE DIOS
750 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
8 MG/2ML;FARMACIA;CLINICA SAN JUAN DE DIOS
8 MG/ML;FARMACIA;CLINICA SAN JUAN DE DIOS
8 MM;FARMACIA;CLINICA SAN JUAN DE DIOS
8 UNIDADES;SUMINISTROS;CLINICA SAN JUAN DE DIOS
8,4%/10ML;FARMACIA;CLINICA SAN JUAN DE DIOS
8.5 G/100ML;FARMACIA;CLINICA SAN JUAN DE DIOS
80 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
80/400 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
80/400MG;FARMACIA;CLINICA SAN JUAN DE DIOS
80+170 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
800 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
800 U/100G;FARMACIA;CLINICA SAN JUAN DE DIOS
800.000 UI;FARMACIA;CLINICA SAN JUAN DE DIOS
80MG;FARMACIA;CLINICA SAN JUAN DE DIOS
80MG / 83ML;FARMACIA;CLINICA SAN JUAN DE DIOS
80MG/0.8ML;FARMACIA;CLINICA SAN JUAN DE DIOS
80MG/2ML;FARMACIA;CLINICA SAN JUAN DE DIOS
8423;FARMACIA;CLINICA SAN JUAN DE DIOS
8425;FARMACIA;CLINICA SAN JUAN DE DIOS
0,85;FARMACIA;CLINICA SAN JUAN DE DIOS
850 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
8G/100ML;FARMACIA;CLINICA SAN JUAN DE DIOS
9 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
9 X 26 CM;FARMACIA;CLINICA SAN JUAN DE DIOS
90 MG;FARMACIA;CLINICA SAN JUAN DE DIOS
90 YARDAS TIPO HOSPITAL;FARMACIA;CLINICA SAN JUAN DE DIOS
900CC;SUMINISTROS;CLINICA SAN JUAN DE DIOS
AL 1%;FARMACIA;CLINICA SAN JUAN DE DIOS
AMPOLLA;FARMACIA;CLINICA SAN JUAN DE DIOS
ARROBA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ATADO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
BIO SET;FARMACIA;CLINICA SAN JUAN DE DIOS
BOLSA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
BOLSA;FARMACIA;CLINICA SAN JUAN DE DIOS
BULTO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
CAJA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
CAJA X 100;FARMACIA;CLINICA SAN JUAN DE DIOS
CANECA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
CAPACIDAD 3 LITROS KRAMER;FARMACIA;CLINICA SAN JUAN DE DIOS
CU&Ntilde&ETE 20 LITROS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
DE ORINA;FARMACIA;CLINICA SAN JUAN DE DIOS
ESTR&Oacute&GENOS CONJUGADOS;FARMACIA;CLINICA SAN JUAN DE DIOS
FCO X 120 ML;FARMACIA;CLINICA SAN JUAN DE DIOS
FCO. AMPOLLA;FARMACIA;CLINICA SAN JUAN DE DIOS
FRASCO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
GAL&Oacute&N;SUMINISTROS;CLINICA SAN JUAN DE DIOS
INHALADOR;FARMACIA;CLINICA SAN JUAN DE DIOS
KILO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
LATA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
LIBRA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
LIBRETA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
LITRO;FARMACIA;CLINICA SAN JUAN DE DIOS
LITRO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
M3;FARMACIA;CLINICA SAN JUAN DE DIOS
MATA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
METRO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
METROS ;SUMINISTROS;CLINICA SAN JUAN DE DIOS
MINUTO;FARMACIA;CLINICA SAN JUAN DE DIOS
MRC1007SP;FARMACIA;CLINICA SAN JUAN DE DIOS
No18;FARMACIA;CLINICA SAN JUAN DE DIOS
No22;FARMACIA;CLINICA SAN JUAN DE DIOS
No24;FARMACIA;CLINICA SAN JUAN DE DIOS
No3;FARMACIA;CLINICA SAN JUAN DE DIOS
No5;FARMACIA;CLINICA SAN JUAN DE DIOS
NA;FARMACIA;CLINICA SAN JUAN DE DIOS
NINGUNA;FARMACIA;CLINICA SAN JUAN DE DIOS
No 12;FARMACIA;CLINICA SAN JUAN DE DIOS
No 20 G (DI&Aacute&M. 1.10MM);FARMACIA;CLINICA SAN JUAN DE DIOS
NO APLICA;FARMACIA;CLINICA SAN JUAN DE DIOS
No14;FARMACIA;CLINICA SAN JUAN DE DIOS
No16;FARMACIA;CLINICA SAN JUAN DE DIOS
ONZAS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
OPTIUM (ABBOTT);FARMACIA;CLINICA SAN JUAN DE DIOS
P8663;FARMACIA;CLINICA SAN JUAN DE DIOS
PAI 22G* 1 1/4;FARMACIA;CLINICA SAN JUAN DE DIOS
PAI 23G * 1;FARMACIA;CLINICA SAN JUAN DE DIOS
PAI 25G * 5/8;FARMACIA;CLINICA SAN JUAN DE DIOS
PAI 26G * 3/8;FARMACIA;CLINICA SAN JUAN DE DIOS
PAQUETE;FARMACIA;CLINICA SAN JUAN DE DIOS
PAQUETE;SUMINISTROS;CLINICA SAN JUAN DE DIOS
PAQUETE * 20 UNIDADES;FARMACIA;CLINICA SAN JUAN DE DIOS
PAQUETE X 10 UNIDADES;FARMACIA;CLINICA SAN JUAN DE DIOS
PAQUETE X 50 UNIDADES;FARMACIA;CLINICA SAN JUAN DE DIOS
PAR;SUMINISTROS;CLINICA SAN JUAN DE DIOS
PLIEGO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
POTE;SUMINISTROS;CLINICA SAN JUAN DE DIOS
REF MRC1007SP;FARMACIA;CLINICA SAN JUAN DE DIOS
REF. 5475;FARMACIA;CLINICA SAN JUAN DE DIOS
RESMA;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ROLLO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ROLLO 13 MTS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ROLLO 30 MTS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ROLLO X 100 MTS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
ROLLO X 300 MTS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
SSN 9% 500 CC;FARMACIA;CLINICA SAN JUAN DE DIOS
TAPA;FARMACIA;CLINICA SAN JUAN DE DIOS
TAPA LILA;FARMACIA;CLINICA SAN JUAN DE DIOS
TARRO;SUMINISTROS;CLINICA SAN JUAN DE DIOS
UI;FARMACIA;CLINICA SAN JUAN DE DIOS
UNIDAD;FARMACIA;CLINICA SAN JUAN DE DIOS
UNIDAD;SUMINISTROS;CLINICA SAN JUAN DE DIOS
UNIDADES;FARMACIA;CLINICA SAN JUAN DE DIOS
VACUTAINER;FARMACIA;CLINICA SAN JUAN DE DIOS
VOLTIOS;SUMINISTROS;CLINICA SAN JUAN DE DIOS
WELCRO;FARMACIA;CLINICA SAN JUAN DE DIOS
X 10;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 100;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 12;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 18;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 20;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 24;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 40;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 5;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 6;SUMINISTROS;CLINICA SAN JUAN DE DIOS
X 9;SUMINISTROS;CLINICA SAN JUAN DE DIOS
